nct_id,ticker,phase,outcome_category,phase_clean,category_clean,car,car_long_window,short_raw,short_benchmark,estimation_window_return,unstable_estimation,needs_reverification,sign_disagreement,sign_disagreement_old,trustworthy,audit_status
NCT04772885,KYMR,PHASE1,success,Phase 1,Success,0.0200279327352591,0.3146735232799493,-0.0428477004127392,-0.0368836425008274,-0.4449432906307177,False,False,True,False,False,
NCT04958226,AZN,PHASE1,success,Phase 1,Success,0.0285805916418491,-0.0857260641895626,0.0325143458719945,0.0016836059745302,0.1105422672240821,False,True,False,False,False,
NCT05266586,NAMS,PHASE2,success,Phase 2,Success,-0.1084508924021358,-0.0999236616167707,-0.1091445081956915,-0.0167880819431801,0.0111562489028149,False,False,False,False,True,
NCT03382639,NBIX,PHASE2,success,Phase 2,Success,0.0204893047199147,0.1939365954812072,-0.0365117687188034,-0.06499795268321,-0.0572159315506631,False,True,True,False,False,
NCT03287960,RYTM,PHASE3,success,Phase 3,Success,0.1128637895449176,0.2668349315683025,0.1551034555330095,0.0356052951344283,0.0651529950598164,False,True,False,False,False,
NCT03624127,BMY,PHASE3,success,Phase 3,Success,0.05792344347528,0.0455737043008692,0.0771557572547942,0.0674884519550869,,False,True,False,False,False,
NCT04513704,NVO,PHASE1,success,Phase 1,Success,0.0618956066561288,0.1540199993706506,0.0742982413417454,0.0314398487397289,0.1877225054973381,False,True,False,False,False,
NCT05237284,SNY,PHASE2,failure_efficacy_safety,Phase 2,Failure,0.0442428339000117,0.084319790006114,0.0411452177320137,0.0211340970630813,-0.1221014891773393,False,True,False,False,False,
NCT03237325,SNGX,PHASE3,success,Phase 3,Success,-0.0459132765372324,0.1811433420088144,-0.0636363751960521,0.0014565743753578,-0.574468085106383,True,False,False,False,False,
NCT02606461,KPTI,PHASE2/PHASE3,success,Phase 3,Success,-0.0466615992322936,0.842075839962037,0.0077432724609702,0.055008812284645,-0.2701092500989724,False,False,True,False,False,
NCT02464228,KURA,PHASE2,success,Phase 2,Success,0.1366352096315179,-0.0101464826647422,0.1339964299433864,0.0070992519550727,-0.3239624722124256,False,True,False,False,False,
NCT03548987,NVO,PHASE3,success,Phase 3,Success,-0.0438439443602371,-0.0452336310044402,-0.0018408482170588,0.1177997020463121,0.2252927531829409,False,False,False,False,True,
NCT03427125,ARDX,PHASE3,success,Phase 3,Success,0.0001721613291257,-0.0203336151045351,-0.0120898397448304,0.0030770670963298,0.0975142925783441,False,False,False,False,True,
NCT04186871,BMY,PHASE2,success,Phase 2,Success,-0.0049572256048482,-0.1018052936442813,-0.0015268228502206,0.0136953525419447,0.0644206497896646,False,True,False,False,False,
NCT03611582,NVO,PHASE3,success,Phase 3,Success,-0.0701835617374468,-0.0102707403651304,-0.0105628559219471,0.096223637949981,-0.0027695417977534,False,True,False,True,False,confirmed_wrong_match
