ticker,drug_name,phase,outcome,category,success,date,tier,alpha,beta,car_short,ret_long_entry_exit,ar_long_entry_exit,ret_short_entry_exit,ar_short_entry_exit
MDGL,MGL-3196,Phase 2,met,Phase 2 met,True,2018-04-03,small,0.008634766263211776,1.028026139840051,-0.05221506244475016,1.2615371270760498,0.06364450363359686,0.02574466538993847,-0.0495415839615454
MDGL,MGL-3196 (resmetirom),Phase 2,met,Phase 2 met,True,2017-12-06,small,0.0033045534004617033,0.4075162679611194,0.6085341182868376,1.8918299567272752,1.0911537845805417,0.8664826057614761,0.7534516818367156
MDGL,MGL-3196 (resmetirom),Phase 2,met,Phase 2 met,True,2018-05-31,small,0.002515748421399995,1.2313204430798261,1.2569817743048013,1.1270107406285028,0.4889085220501461,1.1673350819912862,0.9850715441595237
MDWD,NexoBrid,Phase 3,met,Phase 3 met,True,2019-01-22,small,-0.002294486421054637,0.12820904841247552,0.026731258821843795,0.1977272825792824,0.41283760868147046,0.10983983633838923,0.1402824131855156
MESO,MPC-150-IM,Phase 2,miss,Phase 2 miss,False,2018-11-11,small,0.0036485975908608892,0.2977636671466266,-0.3774603061431737,-0.41168289493606214,-0.5652578982278538,-0.24094484345661094,-0.27205493702960004
MESO,Remestemcel-L (MSC-100-IV),Phase 3,met,Phase 3 met,True,2018-02-22,small,-0.0032742171606400285,0.012103930659809728,0.45322959966026044,0.05739129107931307,0.39207174334868244,0.45542644398493914,0.5321492911813306
MGNX,Margetuximab,Phase 3,met,Phase 3 met,True,2019-02-06,small,-0.001143474247836717,0.8240744334111594,1.008444582254056,0.24911024902574175,0.3133278552662069,0.8464875462786403,0.8200271130716605
MNOV,MN-166,Phase 2,met,Phase 2 met,True,2017-10-28,small,0.00042854961340427027,0.429468036326445,-0.018235328241516968,0.38775515092682245,0.29836875422916065,0.03587440494251326,0.038871901570645795
MNOV,MN-166,Phase 2,miss,Phase 2 miss,False,2018-03-29,small,0.005332133228022473,1.0955314745719427,0.0582672530468229,-0.23827749440822954,-0.5450616099247527,-0.09667899639680011,-0.0419407372256293
MRK,(MK-3475-189/KEYNOTE-189),Phase 3,met,Phase 3 met,True,2018-04-16,large,-0.0012705002185482196,0.2824136540987379,0.04962494871475398,0.14160554586429286,0.2493253790287362,0.10611368458540071,0.12694041124251698
